f02765408a10,1439473408455.581055,"[-44, -44, -44, -45, -46, -44, -44, -44]",6
f81a67fb7f85,1439473408458.363037,"[-58, -46, -47, -44, -46, -58, -45, -44]",6
f81a67fb7f85,1439473408474.816895,"[-65, -68, -71, -67, -66, -68, -70, -72]",6
f81a67fb7f85,1439473408474.842041,"[-73, -71, -75, -68, -72, -68, -71, -64]",6
f81a67fb7f85,1439473408476.861084,"[-47, -46, -46, -47, -48, -46, -47, -46]",6
f81a67fb7f85,1439473408502.965088,"[-58, -46, -47, -44, -46, -58, -45, -44]",6
f81a67fb7f85,1439473408503.334961,"[-45, -44, -45, -45, -46, -44, -45, -44]",6
f02765408a10,1439473408503.652100,"[-45, -44, -44, -45, -46, -44, -44, -44]",6
f02765408a10,1439473408525.093994,"[-59, -47, -48, -45, -47, -58, -45, -45]",6
f81a67fb7f85,1439473408536.489990,"[-59, -47, -47, -45, -46, -58, -45, -44]",6
8086f28a2d5c,1439473408536.522949,"[-44, -44, -44, -44, -45, -44, -44, -44]",6
f81a67fb7f85,1439473408564.370117,"[-44, -44, -44, -45, -46, -44, -45, -44]",6
f81a67fb7f85,1439473408580.897949,"[-44, -44, -44, -44, -46, -44, -44, -44]",6
f81a67fb7f85,1439473408580.959961,"[-57, -46, -47, -44, -46, -57, -45, -44]",6
f02765408a10,1439473408583.321045,"[-45, -44, -44, -45, -46, -44, -45, -44]",6
f81a67fb7f85,1439473408583.377930,"[-58, -47, -47, -45, -46, -58, -45, -45]",6
f02765408a10,1439473408583.441895,"[-45, -44, -44, -44, -46, -44, -45, -44]",6
f02765408a10,1439473408589.238037,"[-44, -44, -44, -44, -46, -44, -44, -44]",6
f81a67fb7f85,1439473408592.716064,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
f81a67fb7f85,1439473408623.558105,"[-44, -44, -44, -44, -45, -44, -44, -44]",6
f81a67fb7f85,1439473408629.608887,"[-56, -46, -47, -44, -46, -58, -45, -44]",6
f02765408a10,1439473408629.687988,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
f81a67fb7f85,1439473408633.292969,"[-44, -44, -44, -45, -46, -44, -45, -44]",6
f02765408a10,1439473408649.577881,"[-55, -46, -46, -44, -45, -58, -45, -44]",6
8086f28a2d5c,1439473408651.579102,"[-46, -44, -44, -45, -44, -44, -45, -44]",6
f02765408a10,1439473408651.687012,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
f81a67fb7f85,1439473408657.452881,"[-44, -44, -44, -44, -45, -44, -44, -44]",6
f02765408a10,1439473408674.997070,"[-44, -44, -44, -44, -46, -44, -44, -44]",6
f81a67fb7f85,1439473408693.162109,"[-47, -44, -44, -45, -45, -44, -45, -44]",6
f02765408a10,1439473408694.858887,"[-45, -44, -44, -44, -46, -44, -44, -44]",6
f81a67fb7f85,1439473408701.419922,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
f02765408a10,1439473408704.002930,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
f81a67fb7f85,1439473408730.718994,"[-44, -44, -44, -44, -45, -44, -44, -44]",6
f02765408a10,1439473408734.927979,"[-44, -44, -44, -45, -46, -44, -45, -44]",6
f02765408a10,1439473408746.821045,"[-46, -44, -44, -45, -45, -44, -45, -44]",6
8086f28a2d5c,1439473408754.072998,"[-55, -45, -46, -44, -45, -56, -45, -44]",6
f81a67fb7f85,1439473408754.238037,"[-57, -47, -47, -45, -46, -58, -45, -44]",6
f02765408a10,1439473408754.837891,"[-44, -44, -44, -45, -47, -44, -44, -44]",6
8086f28a2d5c,1439473408758.990967,"[-55, -46, -46, -44, -45, -57, -44, -44]",6
f02765408a10,1439473408797.777100,"[-44, -44, -44, -44, -46, -44, -44, -44]",6
f81a67fb7f85,1439473408799.857910,"[-45, -44, -44, -45, -46, -44, -45, -44]",6
f81a67fb7f85,1439473408801.989014,"[-44, -44, -44, -45, -46, -44, -45, -44]",6
001406283c50,1439473408803.533936,"[-44, -44, -44, -44, -45, -44, -44, -44]",6
8086f28a2d5c,1439473408811.995117,"[-45, -44, -45, -46, -48, -44, -45, -44]",6
f81a67fb7f85,1439473408907.188965,"[-56, -46, -46, -44, -45, -57, -45, -44]",6
f02765408a10,1439473408907.233887,"[-45, -45, -45, -45, -46, -44, -45, -45]",6
f02765408a10,1439473408907.245117,"[-57, -46, -47, -44, -45, -59, -45, -44]",6
f81a67fb7f85,1439473408907.256104,"[-44, -44, -44, -44, -45, -44, -44, -44]",6
f81a67fb7f85,1439473408907.280029,"[-45, -44, -44, -45, -46, -44, -44, -44]",6
8086f28a2d5c,1439473408907.294922,"[-57, -46, -46, -44, -45, -59, -45, -44]",6
f81a67fb7f85,1439473408907.320068,"[-45, -44, -44, -45, -47, -44, -45, -44]",6
f02765408a10,1439473408907.381104,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
f02765408a10,1439473408907.405029,"[-44, -44, -44, -45, -46, -44, -44, -44]",6
f02765408a10,1439473408907.440918,"[-46, -46, -46, -46, -47, -45, -46, -46]",6
8086f28a2d5c,1439473408907.475098,"[-46, -44, -44, -45, -45, -44, -45, -44]",6
f02765408a10,1439473408915.289062,"[-45, -44, -44, -45, -46, -44, -45, -44]",6
8086f28a2d5c,1439473408915.343994,"[-45, -44, -44, -45, -47, -44, -44, -44]",6
f81a67fb7f85,1439473408924.763916,"[-56, -46, -46, -44, -45, -58, -45, -44]",6
f02765408a10,1439473408928.707031,"[-44, -44, -44, -45, -46, -44, -44, -44]",6
f81a67fb7f85,1439473408941.013916,"[-46, -44, -44, -45, -45, -44, -45, -44]",6
f81a67fb7f85,1439473408956.383057,"[-57, -46, -46, -44, -45, -59, -45, -44]",6
f02765408a10,1439473408956.503906,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
f02765408a10,1439473408960.468994,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
f02765408a10,1439473408972.331055,"[-44, -44, -44, -44, -46, -44, -44, -44]",6
f81a67fb7f85,1439473408974.477051,"[-56, -46, -46, -44, -45, -58, -45, -44]",6
f02765408a10,1439473409001.885010,"[-44, -44, -44, -44, -46, -44, -44, -44]",6
f81a67fb7f85,1439473409003.745117,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
f02765408a10,1439473409009.489014,"[-44, -44, -44, -44, -46, -44, -44, -44]",6
8086f28a2d5c,1439473409009.544922,"[-56, -46, -47, -44, -46, -59, -45, -44]",6
f02765408a10,1439473409023.947021,"[-45, -44, -44, -44, -46, -44, -45, -44]",6
f02765408a10,1439473409028.218994,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
f81a67fb7f85,1439473409039.312012,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
f81a67fb7f85,1439473409039.385010,"[-67, -74, -76, -76, -59, -65, -71, -69]",6
f81a67fb7f85,1439473409046.718994,"[-56, -46, -46, -44, -45, -57, -45, -44]",6
f02765408a10,1439473409064.455078,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
f02765408a10,1439473409066.989990,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
8086f28a2d5c,1439473409111.866943,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
f81a67fb7f85,1439473409111.895996,"[-44, -44, -44, -45, -47, -44, -45, -44]",6
f81a67fb7f85,1439473409112.012939,"[-44, -44, -44, -44, -46, -44, -44, -44]",6
f02765408a10,1439473409112.054932,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
f81a67fb7f85,1439473409112.094971,"[-44, -44, -44, -45, -46, -44, -45, -44]",6
f81a67fb7f85,1439473409128.136963,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
f81a67fb7f85,1439473409128.176025,"[-57, -47, -48, -45, -46, -57, -45, -45]",6
f02765408a10,1439473409128.221924,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
f81a67fb7f85,1439473409143.019043,"[-44, -44, -44, -44, -45, -44, -44, -44]",6
f81a67fb7f85,1439473409152.954102,"[-44, -44, -44, -44, -45, -44, -44, -44]",6
f81a67fb7f85,1439473409189.089111,"[-45, -44, -44, -44, -46, -44, -45, -44]",6
f02765408a10,1439473409189.172119,"[-44, -44, -44, -44, -46, -44, -45, -45]",6
f81a67fb7f85,1439473409190.528076,"[-56, -46, -47, -44, -45, -56, -45, -44]",6
f02765408a10,1439473409206.157959,"[-44, -44, -44, -44, -46, -44, -45, -44]",6
