index,latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v)
51,32.102836,34.812261,5,5,0.63,1,6,6,1.34,2,5734,47:57.5,47:57.5,16,0,0,16.184
52,32.102836,34.812261,5,5,0.81,1,6,6,1.34,2,5838,47:57.7,47:57.7,16,0,0,16.184
53,32.102836,34.812259,5,5,0.5,1,6,6,1.34,2,5940,47:57.8,47:57.8,16,0,0,16.184
54,32.102836,34.812259,5,5,0.5,1,6,6,1.34,2,6043,47:57.9,47:57.9,16,0,0,16.184
55,32.102835,34.812258,5,5,0.22,1,6,6,1.34,2,6148,47:58.0,47:58.0,16,0,0,16.184
56,32.102835,34.812258,5,5,0.67,1,6,6,1.34,2,6252,47:58.1,47:58.1,16,0,0,16.184
57,32.102835,34.812258,5,5,0.67,1,6,6,1.34,2,6355,47:58.2,47:58.2,16,0,0,16.184
58,32.102834,34.812258,5,5,1.36,2,6,6,1.36,2,6459,47:58.3,47:58.3,16,0,0,16.184
59,32.102834,34.812258,5,5,1.7,2,6,6,1.7,2,6562,47:58.4,47:58.4,16,0,0,16.189
60,32.102832,34.812258,5,5,1.14,2,6,6,1.7,2,6668,47:58.5,47:58.5,16,0,0,16.189
61,32.102831,34.812257,5,5,0.89,3,6,6,1.7,3,6770,47:58.6,47:58.6,16,0,0,16.189
62,32.102831,34.812257,5,5,0.89,3,6,6,1.7,3,6873,47:58.7,47:58.7,16,0,0,16.189
63,32.102829,34.812257,6,6,0.92,3,6,6,1.7,3,6976,47:58.8,47:58.8,16,0,0,16.189
64,32.102829,34.812256,6,6,1.3,4,6,6,1.7,4,7179,47:59.0,47:59.0,16,0,0,16.189
65,32.102828,34.812256,5,5,1.8,4,6,6,1.8,4,7284,47:59.1,47:59.1,16,0,0,16.189
66,32.102825,34.812254,5,5,1.5,5,6,6,1.8,5,7389,47:59.2,47:59.2,16,0,0,16.189
67,32.102825,34.812254,5,5,1.5,5,6,6,1.8,5,7494,47:59.3,47:59.3,16,0,0,16.189
68,32.102823,34.812253,5,5,1.5,6,6,6,1.8,6,7597,47:59.4,47:59.4,16,0,0,16.189
69,32.102823,34.812253,5,5,1.2,6,6,6,1.8,6,7699,47:59.5,47:59.5,16,0,0,16.168
70,32.102821,34.812252,5,5,1.3,7,6,6,1.8,7,7805,47:59.6,47:59.6,16,0,0,16.168
71,32.102821,34.812252,5,5,1,7,6,6,1.8,7,7907,47:59.7,47:59.7,16,0,0,16.168
72,32.102819,34.812251,5,5,1.2,7,6,6,1.8,7,8010,47:59.8,47:59.8,15,0,0,16.168
73,32.102819,34.812251,5,5,0.92,8,6,6,1.8,8,8114,47:59.9,47:59.9,15,0,0,16.168
74,32.102818,34.81225,5,5,0.92,8,6,6,1.8,8,8216,48:00.0,48:00.0,16,0,0,16.168
75,32.102816,34.812249,5,5,0.71,9,6,6,1.8,9,8321,48:00.1,48:00.1,15,0,0,16.168
76,32.102815,34.812249,5,5,0.71,9,6,6,1.8,9,8430,48:00.2,48:00.2,15,0,0,16.168
77,32.102814,34.812249,5,5,0.71,9,6,6,1.8,9,8533,48:00.3,48:00.3,15,0,0,16.168
78,32.102814,34.812248,5,5,0.67,9,6,6,1.8,9,8635,48:00.4,48:00.4,15,0,0,16.168
79,32.102813,34.812248,5,5,0.67,10,6,6,1.8,10,8738,48:00.6,48:00.6,16,0,0,16.157
80,32.102812,34.812248,4,4,0.45,10,6,6,1.8,10,8843,48:00.7,48:00.7,16,0,0,16.157
81,32.102811,34.812247,4,4,0.5,10,6,6,1.8,10,8950,48:00.8,48:00.8,16,0,0,16.157
82,32.102811,34.812247,4,4,0.22,11,6,6,1.8,11,9053,48:00.9,48:00.9,16,0,0,16.157
83,32.10281,34.812247,4,4,0.22,11,6,6,1.8,11,9157,48:01.0,48:01.0,16,0,0,16.157
84,32.10281,34.812246,4,4,0,11,6,6,1.8,11,9261,48:01.1,48:01.1,16,0,0,16.157
85,32.102809,34.812246,3,3,0,11,6,6,1.8,11,9368,48:01.2,48:01.2,16,0,0,16.157
86,32.102809,34.812246,3,3,0,11,6,6,1.8,11,9471,48:01.3,48:01.3,16,0,0,16.157
87,32.102809,34.812245,3,3,0,11,6,6,1.8,11,9574,48:01.4,48:01.4,16,0,0,16.157
88,32.102809,34.812245,3,3,0,12,6,6,1.8,12,9678,48:01.5,48:01.5,16,0,0,16.157
89,32.102808,34.812245,3,3,0,12,6,6,1.8,12,9781,48:01.6,48:01.6,16,0,0,16.039
90,32.102808,34.812245,3,3,0,12,6,6,1.8,12,9888,48:01.7,48:01.7,16,0,0,16.039
91,32.102808,34.812245,3,3,0,12,6,6,1.8,12,9997,48:01.8,48:01.8,16,0,0,16.039
92,32.102808,34.812245,3,3,0,12,6,6,1.8,12,10100,48:01.9,48:01.9,16,0,0,16.039
93,32.102807,34.812244,3,3,0,12,6,6,1.8,12,10202,48:02.0,48:02.0,16,0,0,16.039
94,32.102807,34.812244,3,3,0.32,12,6,6,1.8,12,10305,48:02.1,48:02.1,16,0,0,16.039
95,32.102807,34.812244,2,2,0.22,12,6,6,1.8,12,10408,48:02.2,48:02.2,15,0,0,16.039
96,32.102807,34.812244,2,2,0.5,12,6,6,1.8,12,10511,48:02.3,48:02.3,15,0,0,16.039
97,32.102807,34.812244,2,2,0.5,12,6,6,1.8,12,10613,48:02.4,48:02.4,15,0,0,16.039
98,32.102807,34.812244,2,2,0.5,12,6,6,1.8,12,10716,48:02.5,48:02.5,15,0,0,16.039
99,32.102807,34.812244,2,2,0.5,12,6,6,1.8,12,10821,48:02.6,48:02.6,15,0,0,16.176
100,32.102807,34.812244,2,2,0.67,12,6,6,1.8,12,10926,48:02.7,48:02.7,15,0,0,16.176
101,32.102807,34.812244,2,2,0.67,12,6,6,1.8,12,11029,48:02.8,48:02.8,15,0,0,16.176
102,32.102807,34.812243,2,2,0.71,12,6,6,1.8,12,11132,48:02.9,48:02.9,15,0,0,16.176
103,32.102807,34.812243,2,2,0.81,12,6,6,1.8,12,11234,48:03.0,48:03.0,15,0,0,16.176
104,32.102807,34.812243,2,2,0.81,12,6,6,1.8,12,11337,48:03.2,48:03.2,15,0,0,16.176
105,32.102807,34.812242,2,2,0.71,12,6,6,1.8,12,11441,48:03.3,48:03.3,15,0,0,16.176
106,32.102807,34.812242,1,1,0.32,12,6,6,1.8,12,11543,48:03.4,48:03.4,16,0,0,16.176
107,32.102808,34.812242,1,1,0,12,6,6,1.8,12,11646,48:03.5,48:03.5,16,0,0,16.176
108,32.102807,34.812242,1,1,0.32,13,6,6,1.8,13,11748,48:03.6,48:03.6,16,0,0,16.176
109,32.102807,34.812242,2,2,0.63,13,6,6,1.8,13,11851,48:03.7,48:03.7,16,0,0,16.096
110,32.102807,34.812242,1,1,0.32,13,6,6,1.8,13,11956,48:03.8,48:03.8,16,0,0,16.096
111,32.102806,34.812241,1,1,0.22,13,6,6,1.8,13,12059,48:03.9,48:03.9,16,0,0,16.096
112,32.102806,34.812241,1,1,0,13,6,6,1.8,13,12170,48:04.0,48:04.0,16,0,0,16.096
113,32.102806,34.812241,1,1,0.22,13,6,6,1.8,13,12273,48:04.1,48:04.1,16,0,0,16.096
114,32.102805,34.81224,1,1,0.32,13,6,6,1.8,13,12376,48:04.2,48:04.2,16,0,0,16.096
115,32.102805,34.81224,1,1,0.22,13,6,6,1.8,13,12485,48:04.3,48:04.3,16,0,0,16.096
116,32.102805,34.812239,1,1,0.5,14,6,6,1.8,14,12588,48:04.4,48:04.4,16,0,0,16.096
117,32.102804,34.812239,1,1,0.5,14,6,6,1.8,14,12691,48:04.5,48:04.5,16,0,0,16.096
118,32.102804,34.812238,1,1,0.5,14,6,6,1.8,14,12793,48:04.6,48:04.6,16,0,0,16.096
