F02765408A10,001406083590
-90
f02765408a10,1443621789524.822998,"[-84, -84, -69, -89, -86, -71, -73, -75]",7
f02765408a10,1443621789610.070068,"[-82, -82, -69, -88, -84, -71, -73, -74]",7
f02765408a10,1443621789618.881104,"[-72, -62, -63, -72, -63, -55, -61, -62]",7
f02765408a10,1443621789627.785889,"[-71, -62, -62, -72, -62, -54, -61, -62]",7
f02765408a10,1443621789634.684082,"[-71, -62, -62, -73, -62, -55, -61, -62]",7
f02765408a10,1443621789643.215088,"[-71, -61, -62, -73, -62, -54, -61, -62]",7
f02765408a10,1443621790276.833008,"[-70, -66, -62, -71, -63, -53, -61, -63]",7
f02765408a10,1443621790277.032959,"[-56, -55, -48, -56, -63, -49, -52, -55]",7
f02765408a10,1443621790277.173096,"[-67, -85, -83, -89, -74, -80, -84, -83]",7
f02765408a10,1443621790277.249023,"[-84, -84, -70, -86, -86, -72, -74, -76]",7
f02765408a10,1443621790277.274902,"[-69, -63, -61, -73, -66, -55, -62, -64]",7
f02765408a10,1443621790443.483887,"[-81, -83, -70, -90, -82, -72, -74, -77]",7
f02765408a10,1443621790572.899902,"[-70, -62, -60, -73, -74, -65, -66, -70]",7
f02765408a10,1443621790572.917969,"[-69, -62, -60, -72, -74, -65, -66, -70]",7
f02765408a10,1443621790593.383057,"[-73, -63, -67, -74, -66, -53, -60, -62]",7
f02765408a10,1443621790813.264893,"[-74, -81, -81, -87, -82, -80, -83, -76]",7
f02765408a10,1443621791043.358887,"[-71, -64, -62, -71, -66, -54, -61, -63]",7
f02765408a10,1443621791052.897949,"[-71, -64, -62, -71, -66, -55, -61, -63]",7
f02765408a10,1443621791065.030029,"[-71, -63, -62, -71, -65, -54, -61, -63]",7
f02765408a10,1443621791266.860107,"[-67, -61, -55, -65, -59, -51, -57, -60]",7
f02765408a10,1443621791435.439941,"[-70, -62, -61, -73, -64, -54, -61, -64]",7
f02765408a10,1443621791456.135010,"[-72, -64, -60, -73, -74, -66, -66, -74]",7
f02765408a10,1443621791458.415039,"[-70, -63, -61, -74, -64, -54, -61, -64]",7
f02765408a10,1443621791467.904053,"[-71, -64, -62, -74, -65, -55, -62, -65]",7
f02765408a10,1443621791474.701904,"[-70, -62, -61, -73, -64, -54, -61, -64]",7
f02765408a10,1443621791488.152100,"[-71, -64, -60, -73, -74, -66, -66, -73]",7
f02765408a10,1443621791494.743896,"[-71, -64, -60, -73, -74, -66, -66, -73]",7
f02765408a10,1443621791498.833008,"[-72, -64, -60, -73, -74, -67, -66, -73]",7
f02765408a10,1443621791704.041016,"[-67, -85, -81, -85, -74, -79, -80, -83]",7
f02765408a10,1443621791843.073975,"[-67, -66, -58, -71, -74, -62, -67, -72]",7
f02765408a10,1443621791850.340088,"[-70, -58, -60, -72, -67, -55, -63, -65]",7
f02765408a10,1443621791858.875977,"[-70, -58, -60, -72, -68, -55, -64, -66]",7
f02765408a10,1443621791866.893066,"[-69, -57, -60, -72, -67, -55, -63, -65]",7
f02765408a10,1443621791875.257080,"[-70, -65, -61, -72, -76, -65, -67, -74]",7
f02765408a10,1443621791883.293945,"[-69, -65, -61, -72, -76, -65, -67, -75]",7
f02765408a10,1443621791925.113037,"[-70, -66, -61, -73, -76, -65, -67, -75]",7
f02765408a10,1443621791937.395996,"[-68, -57, -62, -71, -69, -56, -65, -65]",7
f02765408a10,1443621791938.448975,"[-70, -66, -61, -73, -77, -66, -67, -75]",7
f02765408a10,1443621792045.576904,"[-59, -60, -54, -59, -59, -49, -48, -50]",7
f02765408a10,1443621792045.620117,"[-72, -57, -62, -73, -71, -55, -65, -66]",7
