RelativeTime;CenterBattery.LastStudyCycle;CenterBattery.TotalStudyCycle;CenterBattery.ConnectionStatus;CenterBattery.Temperature;CenterBattery.ProductDate;CenterBattery.SerialNumber;CenterBattery.Current;CenterBattery.ErrorType;CenterBattery.LoopNum;CenterBattery.Life;CenterBattery.FullCapacity;CenterBattery.CurrentCapacity;CenterBattery.CurrentPV;CenterBattery.RelativeCapacity;Recover.BatterySerialNumber;Recover.RemoteSerialNumber;Recover.CameraSerialNumber;Recover.ActiveTime;Recover.PlaneName;Recover.FlyControllerSerialNumber;Recover.AppVersion;Recover.AppType;Recover.DroneType;Custom.UpdateTime;Custom.Distance;Custom.HSpeed;Custom.IsVideo;Custom.IsPhoto;Custom.Timestamp;Deform.DeformProtected;Deform.TripodStatus;Deform.DeformMode;Gimbal.YawAngle;Gimbal.RollAdjust;Gimbal.Mode;Gimbal.Yaw;Gimbal.Roll;Gimbal.Pitch;Home.Height;Home.Latitude;Home.Longitude;Home.GoHomeHeight;Home.ReachedLimitHeight;Home.ReachedLimitDistance;Home.IsMultipleModeOpen;Home.IsIOCEnabled;Home.IsHomeRecord;Home.IsDynamicHomePointEnable;Home.IsCompassCeleing;Home.IsBeginnerMode;Home.HasGoHome;Home.IOCMode;Home.GoHomeStatus;Home.GoHomeMode;Home.CompassCeleStatus;Home.AirCraftHeadDirection;Osd.FlycVersion;Osd.MotorRevolution;Osd.FlyTime;Osd.SwaveHeight;Osd.Battery;Osd.NonGpsCause;Osd.MotorFailCause;Osd.MotorFailed;Osd.FlightAction;Osd.GpsNum;Osd.CanIOCWork;Osd.IsVisionUsed;Osd.IsSwaveWork;Osd.IsMotorUp;Osd.IsImuPreheated;Osd.GroundOrSky;Osd.ModeChannel;Osd.GoHomeStatus;Osd.CompassError;Osd.FlycCommand;Osd.RcState;Osd.FlycState;Osd.Yaw;Osd.Roll;Osd.Pitch;Osd.ZSpeed;Osd.YSpeed;Osd.XSpeed;Osd.Height;Osd.Latitude;Osd.Longitude;Osd.VoltageWarning;Osd.NonGpsCauseRaw;Rc.Custom2Status;Rc.Custom1Status;Rc.ShutterStatus;Rc.RecordStatus;Rc.GyroValue;Rc.Rudder;Rc.Throttle;Rc.Elevator;Rc.Aileron;RcGps.GpsStatus;RcGps.GpsNum;RcGps.YSpeed;RcGps.XSpeed;RcGps.Longitude;RcGps.Latitude;SmartBattery.Battery;SmartBattery.Voltage;SmartBattery.GoHomeCountDown;SmartBattery.SmartGoHomeStatus;SmartBattery.BatteryStatus;SmartBattery.VolumeConsume;SmartBattery.SafeFlyRadius;SmartBattery.LandBattery;SmartBattery.GoHomeBattery;SmartBattery.LandTime;SmartBattery.GoHomeTime;SmartBattery.UsefulTime;AppTip.Text;AppWarn.Text
0;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:34 AM;0;0;0;0;1445504914197;;;;0;0;YawFollow;-747;0;0;;;;;;;;;;;;;;;;;;;6;1;00:00:00;1;69;None;None;False;RcAssistantTakeoff;16;False;True;False;True;True;0;2;0;False;Calibration;0;GpsAtti;-793;-60;21;0;0;0;0;32.1032221444967;34.8120658593423;0;0;0;0;False;False;1024;1684;364;364;364;;;;;;;;;;;;;;;;;;;;
0.097;0;0;Normal;32.11;7/1/2015 12:00:00 AM;456;-1023;-2147483648;15;100;4382;2629;15.668;60;;;;;;;;;;10/22/2015 9:08:34 AM;0.004559074;0;0;0;1445504914294;True;FoldComplete;Normal;0;0;YawFollow;-748;0;0;16.01854;32.1032301269865;34.8120584408204;30;False;False;False;False;True;False;False;False;False;CourseLock;0;1;0;1;6;1;00:00:00.1000000;1;69;None;None;False;RcAssistantTakeoff;16;False;True;False;True;True;0;2;0;False;Calibration;0;GpsAtti;-793;-61;21;0;0;0;0;32.1032221845315;34.8120658703368;0;0;;;;;;;;;;;;;;;;60;15.859;0;NonGohome;None;0;0;10;15;0;0;0;;
0.195;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:34 AM;0.08534443;0;0;0;1445504914392;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;00:00:00.2000000;1;69;None;None;False;RcAssistantTakeoff;16;False;True;True;True;True;0;2;0;False;Calibration;0;GpsAtti;-794;-61;21;0;0;0;0;32.1032228246113;34.8120662790975;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.294;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:34 AM;0.1002378;0;0;0;1445504914491;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;00:00:00.3000000;1;69;None;None;False;RcAssistantTakeoff;16;False;True;True;True;True;0;2;0;False;Calibration;0;GpsAtti;-794;-61;20;0;0;0;0;32.1032226940653;34.8120662420058;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.399;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:34 AM;0.226162;0;0;0;1445504914596;;;;0;0;YawFollow;-749;0;0;;;;;;;;;;;;;;;;;;;6;1;00:00:00.4000000;1;69;None;None;False;RcAssistantTakeoff;16;False;True;True;True;True;0;2;0;False;Calibration;0;GpsAtti;-794;-62;20;0;0;0;0;32.1032229309052;34.8120675468335;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.499;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:34 AM;0.2301368;0;0;0;1445504914696;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;00:00:00.5000000;1;69;None;None;False;RcAssistantTakeoff;16;False;True;True;True;True;0;2;0;False;Calibration;0;GpsAtti;-794;-62;20;0;0;0;0;32.103222966728;34.8120675483239;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.597;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:34 AM;0.2902295;0;0;0;1445504914794;True;FoldComplete;Protect;;;;;;;;;;;;;;;;;;;;;;;;;6;1;00:00:00.6000000;1;69;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;Calibration;0;GpsAtti;-795;-63;20;0;0;0;0;32.1032233028918;34.8120680477048;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.694;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:34 AM;0.3015869;0;0;0;1445504914891;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;00:00:00.7000000;1;69;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;Calibration;0;GpsAtti;-795;-63;20;0;0;0;0;32.1032232205102;34.8120679762078;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.791;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:34 AM;0.3775937;0;0;0;1445504914988;;;;0;0;YawFollow;-750;0;0;;;;;;;;;;;;;;;;;;;6;1;00:00:00.8000000;1;69;None;None;False;RcAssistantTakeoff;15;False;False;True;True;True;0;2;0;False;Calibration;0;GpsAtti;-796;-63;20;0;0;0;0;32.1032235545019;34.8120672729851;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.894;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:35 AM;0.3812117;0;0;0;1445504915091;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;00:00:00.9000000;1;69;None;None;False;RcAssistantTakeoff;15;False;False;True;True;True;0;2;0;False;Calibration;0;GpsAtti;-796;-64;19;0;0;0;0;32.1032235868018;34.8120672675703;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.994;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:35 AM;0.4745402;0;0;0;1445504915191;;;;0;0;YawFollow;-751;0;0;;;;;;;;;;;;;;;;;;;6;1;00:00:01;1;69;None;None;False;RcAssistantTakeoff;15;False;False;True;True;True;0;2;0;False;Calibration;0;GpsAtti;-796;-64;19;0;0;0;0;32.1032229745301;34.8120679460322;0;0;0;0;False;False;1024;1684;364;589;460;;;;;;;;;;;;;;;;;;;;
1.099;0;0;Normal;32.11;7/1/2015 12:00:00 AM;456;-1067;-2147483648;15;100;4382;2629;15.668;60;;;;;;;;;;10/22/2015 9:08:35 AM;0.477955;0;0;0;1445504915296;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;00:00:01.1000000;1;69;None;None;False;RcAssistantTakeoff;15;False;False;True;True;True;0;2;0;False;Calibration;0;GpsAtti;-797;-64;19;0;0;0;0;32.1032230044927;34.8120679376774;0;0;0;0;False;False;1024;1684;364;1024;1024;;;;;;;60;15.841;0;NonGohome;None;0;0;10;15;0;0;0;;
1.197;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:35 AM;0.5505294;0;0;0;1445504915394;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;00:00:01.2000000;1;69;None;None;False;RcAssistantTakeoff;15;False;False;True;True;True;0;2;0;False;Calibration;0;GpsAtti;-797;-64;19;0;0;0;0;32.1032236343424;34.8120677287197;0;0;0;0;False;False;1024;1638;364;1024;1024;;;;;;;;;;;;;;;;;;;;
1.292;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:35 AM;0.5590159;0;0;0;1445504915489;;;;0;0;YawFollow;-752;0;0;;;;;;;;;;;;;;;;;;;6;1;00:00:01.3000000;1;69;None;None;False;RcAssistantTakeoff;15;False;False;True;True;True;0;2;0;False;Calibration;0;GpsAtti;-798;-66;21;0;0;0;0;32.1032235664292;34.8120676872653;0;0;0;0;False;False;1024;1496;364;1024;1024;;;;;;;;;;;;;;;;;;;;
1.498;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:35 AM;0.6049778;0;0;0;1445504915695;;;;0;0;YawFollow;-759;0;0;;;;;;;;;;;;;;;;;;;6;1;00:00:01.5000000;0;69;None;None;False;RcAssistantTakeoff;15;False;False;True;True;True;0;2;0;False;Calibration;0;GpsAtti;-800;-69;37;0;0;0;0;32.1032234933614;34.8120672079256;0;0;0;0;False;False;1024;1240;610;1024;1024;;;;;;;;;;;;;;;;;;;;
1.594;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:35 AM;0.6811409;0;0;0;1445504915791;;;;0;0;YawFollow;-778;0;0;;;;;;;;;;;;;;;;;;;6;1;00:00:01.6000000;0;69;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;Calibration;0;GpsAtti;-802;-66;38;0;0;0;0;32.1032237260442;34.812066448693;0;0;0;0;False;False;1024;1176;364;1024;1024;;;;;;;;;;;;;;;;;;;;
1.695;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:35 AM;0.6874977;0;0;0;1445504915892;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;00:00:01.7000000;1;69;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;Calibration;0;GpsAtti;-802;-66;36;0;0;0;0;32.1032237708726;34.8120664067138;0;0;0;0;False;False;1024;1177;364;1024;1024;;;;;;;;;;;;;;;;;;;;
1.798;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:35 AM;0.7363852;0;0;0;1445504915995;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;00:00:01.8000000;1;69;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;Calibration;0;GpsAtti;-802;-70;40;0;0;0;0;32.1032241922464;34.8120662543867;0;0;0;0;False;False;1024;1176;364;1024;1024;;;;;;;;;;;;;;;;;;;;
1.894;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:36 AM;0.7467036;0;0;0;1445504916091;;;;0;0;YawFollow;-779;0;0;;;;;;;;;;;;;;;;;;;6;1;00:00:01.9000000;2;69;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;Calibration;0;GpsAtti;-803;-70;44;0;0;0;0;32.1032241001035;34.8120662696299;0;0;0;0;False;False;1024;1157;364;1024;1024;;;;;;;;;;;;;;;;;;;;
1.994;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:36 AM;0.8054942;0;0;0;1445504916191;;;;0;0;YawFollow;-780;0;0;;;;;;;;;;;;;;;;;;;6;1;00:00:02;3;69;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;Calibration;0;AssistedTakeoff;-804;-67;41;0;0;0;0;32.103224126347;34.8120656475072;0;0;0;0;False;False;1024;1092;364;1024;1024;;;;;;;;;;;;;;;;;;;"Tips__RC Assisted Takeoff";
2.158;0;0;Normal;32.11;7/1/2015 12:00:00 AM;456;-1447;-2147483648;15;100;4382;2629;15.653;60;;;;;;;;;;10/22/2015 9:08:36 AM;0.8132505;0;0;0;1445504916355;;;;0;0;YawFollow;-781;0;0;;;;;;;;;;;;;;;;;;;6;1;00:00:02.1000000;3;69;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;Calibration;0;AssistedTakeoff;-802;-65;31;0;0;0;0;32.1032241715633;34.8120655848077;0;0;0;0;False;False;1024;1149;364;1024;1024;;;;;;;60;15.745;0;NonGohome;None;0;0;10;15;0;0;0;;
2.197;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:36 AM;0.8861067;0;0;0;1445504916394;;;;0;0;YawFollow;-783;0;0;;;;;;;;;;;;;;;;;;;6;1;00:00:02.2000000;3;69;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;Calibration;0;AssistedTakeoff;-801;-65;21;0;0;0;0;32.1032238122727;34.8120649385382;0;0;0;0;False;False;1024;1114;364;1024;1024;;;;;;;;;;;;;;;;;;;;
2.295;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:36 AM;0.890137;0;0;0;1445504916492;;;;0;0;YawFollow;-782;0;0;;;;;;;;;;;;;;;;;;;6;1;00:00:02.3000000;2;69;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;Calibration;0;AssistedTakeoff;-801;-64;20;0;0;0;0;32.1032238264085;34.8120648991996;0;0;0;0;False;False;1024;1024;439;1024;1024;;;;;;;;;;;;;;;;;;;;
2.393;;;;;;;;;;;;;;;;;;;;;;;;10/22/2015 9:08:36 AM;0.9468443;0;0;0;1445504916590;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;00:00:02.4000000;2;69;None;None;False;RcAssistantTakeoff;16;False;False;True;True;True;0;2;0;False;Calibration;0;AssistedTakeoff;-802;-63;23;0;0;0;0;32.1032239318639;34.8120643112992;0;0;0;0;False;False;1024;1024;1161;1024;1024;;;;;;;;;;;;;;;;;;;;
